,title,Vegetarian_Friendly,NER
30,Chocolate Zucchini Bread,True,"['3 eggs', '1 cup vegetable oil', '2 cups sugar', '1 tablespoon vanilla extract', '2 cups zucchini, peeled, shredded (about 1 medium)', '2 1/2 cups all-purpose flour', '1/2 cup baking cocoa', '1 teaspoon salt', '1 teaspoon baking soda', '1 teaspoon cinnamon, ground', '1/4 teaspoon baking powder']"
31,Chocolate Zucchini Bread,True,"['3 eggs', '1 cup vegetable oil', '2 cups sugar', '1 tbsp. vanilla extract', '2 cups shredded and peeled zucchini', '2-1/2 cup all-purpose flour', '1/2 cup cocoa', '1 tsp. salt', '1 tsp. cinnamon', '1/4 tsp. baking powder']"
32,Chocolate Chip Muffins,True,"['1 3/4 cups all-purpose flour', '1/2 cup whole wheat flour', '2 1/2 teaspoons baking powder', '1 banana, mashed and ripe (approximately 1/2 cup)', '1/2 cup brown sugar, packed', '2 eggs', '1 cup milk', '1/3 cup butter, melted', '1 cup chocolate chips']"
33,Chocolate Tapioca Pudding,True,"['1 cup sugar', '3 tablespoons tapioca', '1/8 teaspoon salt', '3 2/3 cups milk', '1 egg, slightly beaten', '2 ounces unsweetened chocolate squares, chopped', '2 tablespoons instant coffee (add 1 extra tablespoon if desired)', '1 teaspoon vanilla', 'whipped topping (optional)']"
34,Chocolate Coffee,True,"['4 ounces semisweet chocolate', '2 cups half-and-half', '4 cups hot brewed coffee', '3/4 cup coffee liqueur', 'sweetened whipped cream']"
35,Thai Chicken Curry,False,"['1 (14 ounce) can coconut milk', '3 potatoes, small quartered', '3 tablespoons nam pla', '1 tablespoon curry powder', '1/4 teaspoon clove, ground', '1 lb boneless chicken, cubed']"
36,Thai Chicken Noodles,False,"['4 boneless skinless chicken breast halves, sliced', '2 tablespoons white wine', 'oil', '8 garlic cloves, sliced', '6 shallots, sliced', '3/4 lb rice vermicelli', '4 dried red chilies', '6 dried Chinese mushrooms, soaked', '1 (6 ounce) can shrimp', '3 tablespoons tomato paste', '2 tablespoons sugar', '1 tablespoon nam pla', '1/2 cup bean sprouts', '2 tablespoons basil', '2 tablespoons peanuts, crushed']"
37,Twice-Baked Potatoes (Microwave),False,"['4 large baking potatoes', '6 slices bacon', '1/4 cup butter or 1/4 cup margarine', '2 green onions, chopped', '1/2 cup milk', '1/2 teaspoon salt', '1/8 teaspoon pepper', 'paprika']"
38,Lemon Curried Lamb Chops,False,"['4 lamb chops', '1/3 cup lemon juice', '1 teaspoon salt', '3 teaspoons curry powder', '1/4 teaspoon sugar', '1 1/2 ounces butter']"
39,Lemon Mint Lamb Chops,False,"['8 lamb chops', 'SAUCE', '2 ounces butter', '1 small onion, finely chopped', '1 lemon, rind, grated (1 teaspoon)', '2 teaspoons lemon juice', '1/2 teaspoon sugar', '2 teaspoons mint, chopped']"
40,Fish Chowder,False,"['1 lb cod fish fillet', '2 tablespoons margarine or 2 tablespoons cooking oil', '1 medium onion, sliced', '1/2 cup celery, diced', '2 cups raw potatoes, diced', '1/2 cup carrot, sliced', '2 cups boiling water', '1 teaspoon salt', '1/2 teaspoon pepper', '1 cup milk']"
41,Curry Chicken,False,"['6 -8 chicken wings, disjointed', 'curry powder', 'garlic salt', 'seasoning salt', 'black pepper', '2 medium red skin white potatoes', '1 medium onion, diced', '1/2 medium green pepper, diced', '1 tablespoon oil']"
42,Brown Sugar Shortbread,True,"['1 cup butter, softened', '1/2 cup brown sugar, packed', '2 1/4 cups flour']"
43,Lemon Chicken,False,"['4 skinless chicken breast halves', '2 lemons, juiced', '12 cup unbleached flour', '12 teaspoon salt (optional)', '14 teaspoon fresh pepper, ground', '14 teaspoon paprika', '1 tablespoon lemon, rind of, grated', '2 tablespoons brown sugar', '1 tablespoon fresh lemon juice', '1 tablespoon water', '1 lemon, sliced 1/8']"
44,Zucchini Frittatas II,True,"['1 tablespoon olive oil', '1 medium onion, chopped', '2 cloves garlic, pressed or minced', '2 medium zucchini, about 3 cups sliced', '12 teaspoon salt (or to taste)', 'pepper, freshly ground', '4 large egg whites', '2 tablespoons fresh basil, finely chopped', '2 tablespoons flat-leaf Italian parsley, minced', '2 tablespoons fat-free parmesan cheese (optional)']"
45,Hazelnut Shortbread Cookies,True,"['2 cups flour', '1 cup hazelnuts, ground fine', '1 cup butter, room temperature', '3/4 cup light brown sugar, packed']"
46,Sweet Potato Pecan Pie,False,"['1 lb yams or 1 lb sweet potato, cooked and peeled', '1/4 cup butter or 1/4 cup margarine', '14 ounces condensed milk, sweetened', '1 teaspoon cinnamon, ground', '1 teaspoon orange rind, grated', '1 teaspoon vanilla extract', '1/2 teaspoon nutmeg, ground', '1/4 teaspoon salt', '1 egg', '1 (9 inch) graham cracker pie crust', 'Topping', '1 egg', '2 tablespoons dark corn syrup', '2 tablespoons brown sugar, firmly packed', '1 tablespoon butter, melted', '1/2 teaspoon maple flavoring', '1 cup pecans, chopped']"
47,Yellow Squash Puffs,True,"['1 cup yellow squash, cooked and mashed', '1 egg, beaten', '1/3 cup all-purpose flour', '1/3 cup cornmeal', '1 teaspoon baking powder', '1/2 teaspoon salt', '1 medium onion, grated', 'vegetable oil']"
48,Sweet Potato-Pecan Pie,True,"['1 pie crust, unbaked (9 inch)', 'Filling', '1 large egg', '1 1/2 cups fresh sweet potatoes, mashed cooked', '1/4 cup sugar', '2 tablespoons unsalted butter or 2 tablespoons margarine, softened', '1 teaspoon vanilla extract', '1/4 teaspoon salt', '1/4 teaspoon cinnamon, ground', '1/8 teaspoon allspice, ground', '1/8 teaspoon nutmeg, ground', 'Pecan Topping', '2 large eggs', '1/2 cup sugar', '1/2 cup dark corn syrup', '2 tablespoons unsalted butter or 2 tablespoons margarine, melted', '1 teaspoon vanilla extract', '1 dash cinnamon, ground', '1 cup pecan halves', '1/2 cup heavy cream, whipped stiff']"
49,Iced Mochaccino Smoothie,True,"['1 cup brewed espresso, chilled', '6 tablespoons chocolate syrup', '1 tablespoon sugar', '1/2 cup milk', '1 cup vanilla ice cream or 1 cup frozen yogurt', '1/4 cup heavy cream, softly whipped', 'cinnamon (for garnish) or cocoa powder (for garnish)']"
50,Chocolate Coffee Ice Cream Soda,True,"['2 tablespoons chocolate flavored coffee', '2 tablespoons milk', 'coffee ice cream (2 scoops)', '6 ounces carbonated chocolate soda', 'to taste cherries, as garnish']"
51,Iced Cafe Au Lait,True,"['2 1/4 cups coffee, freshly brewed, but cold', '2 cups milk', '2 cups ice, crushed', 'sugar (optional)']"
52,Frozen Cappuccino,True,"['1 1/2 - 2 cups ice cubes, crushed', '3/4 cup espresso or 3/4 cup strong coffee', '1/3 cup fat-free condensed milk, sweetened']"
53,Iced Coffee Cream,True,"['2 tablespoons instant coffee', '4 teaspoons light-brown sugar', '13 cup boiling water', '14 teaspoon cinnamon, Ground', '3 pinches mixed spice', '23 cup water, Cold', '1 12 cups milk, chilled', '1 teaspoon vanilla extract', '5 tablespoons whipping cream', '8 ice cubes', '4 scoops vanilla ice cream', '12 teaspoon cocoa powder, Sweetened', '3 -4 cinnamon sticks', 'lime slice (optional)', 'chocolate, Grated (optional)']"
54,Glazed Pineapple With Macadamia Nut Crunch,True,"['1 large pineapple, ripe with end trimmed skin and eyes removed', '1 cup macadamia nuts, coarsely chopped', '13 cup light brown sugar, packed', '1 pinch salt', '4 tablespoons unsalted butter, melted']"
55,Tomato Salad,True,"['4 tomatoes, chopped', '1 cup corn kernel', '2 green onions, chopped', '2 tablespoons fresh basil, chopped', '1 tablespoon parsley', '2 tablespoons balsamic vinegar', 'salt and pepper', '1/2 teaspoon honey mustard']"
56,Blue Mountain Blueberry Pie,True,"['pie dough (1 batch, enough for two-crust pie)', '4 cups blueberries', '4 teaspoons lemon juice', '3/4 cup sugar', '1/4 cup all-purpose flour', '1 teaspoon lemon zest, grated', '1/2 teaspoon cinnamon, ground', '1/4 teaspoon nutmeg, ground', '1/8 teaspoon salt', '2 tablespoons margarine']"
57,Remarkable Rhubarb Bites,True,"['2 cups rhubarb, diced', '1 cup sugar', '1/2 cup shortening', '1 cup brown sugar', '1 egg', '1 teaspoon baking soda', '1/4 teaspoon salt', '1 teaspoon cinnamon', '2 cups flour', '1/2 teaspoon vanilla', ""confectioners' sugar""]"
58,Gado Gado: Indonesian Salad,True,"['8 cups water', '1 teaspoon salt', '4 cups green cabbage or 4 cups Chinese cabbage, coarsely chopped', '3 1/2 cups bean sprouts', '3 cups green beans, cut (or canned)', '2 medium potatoes', '3 eggs, hard boiled', '1/2 English cucumber (long cucumber)', '1 2/3 cups peanut sauce']"
59,Greek Lemon Potatoes,True,"['1 kg potato', '2 tablespoons olive oil', '1 lemon, juice and grated zest', '4 tablespoons water', '6 cloves garlic, peeled', '4 bay leaves', '2 rosemary sprigs', '1 teaspoon fresh thyme, chopped', '1/2 teaspoon dried oregano', '1 pinch sugar', 'salt & pepper', '2 tablespoons parsley, chopped']"
60,Lentil Dal,True,"['1 tablespoon olive oil', '1 cup onion, chopped', '1 tablespoon fresh ginger, peeled, minced', '1 teaspoon cumin seed', '1 teaspoon turmeric, ground', '1/2 teaspoon red pepper, crushed', '4 garlic cloves, minced', '2 cups cauliflower florets, chopped', '2 cups tomatoes, chopped', '2 1/2 cups water', '1 cup dried lentils', '2 tablespoons fresh lime juice', '1 tablespoon fresh cilantro, minced', '3/4 teaspoon salt', '6 cups cooked basmati rice or 6 cups long grain rice, cooked']"
61,Mississippi Mud Pie,True,"['1 1/2 cups margarine', '2 cups flour', '2 cups nuts, chopped', 'FIRST LAYER', ""1 lb confectioners' sugar"", '1 (12 ounce) container Cool Whip, divided', '12 ounces cream cheese, softened', 'SECOND LAYER', '1 (6 ounce) box instant chocolate pudding mix', '1 (3 1/2 ounce) box instant vanilla pudding', '5 1/2 cups milk', 'chocolate, shaved']"
62,Cappuccino Coffee Mix,True,"['1/2 cup instant coffee granules', '1/2 teaspoon dried orange peel, grated', '1 cup non-dairy powdered coffee creamer', '1/4 cup granulated sugar', '1/2 teaspoon cinnamon, ground']"
63,Whipped Cappuccino,True,"[""2 tablespoons instant espresso powder (Medaglia d'Oro is excellent)"", '1/2 cup water, hot', '1/2 cup condensed milk, sweetened', '2 cups ice cubes']"
64,Maple Salmon,False,"['2 salmon fillets', '1/3 cup maple syrup (real stuff)', '1/4 cup soy sauce', 'sesame seeds']"
65,Irish Dark Soda Bread,True,"['3 cups all-purpose flour', '2 cups whole wheat flour', '2 teaspoons baking soda', '1 tablespoon baking powder', '2 tablespoons brown sugar', '2 1/2 cups buttermilk']"
66,Tomato and Herb Salad,True,"['1 lb roma tomato', '1 medium cucumber, peeled', '1 small purple onion, whole (vertically sliced)', '1 tablespoon of fresh mint, chopped', '1 tablespoon fresh basil, chopped', '1 tablespoon fresh parsley, chopped', '14 teaspoon salt', '18 teaspoon black pepper, freshly ground', '13 cup plain nonfat yogurt']"
67,Lemonade,True,"['3 lemons', '3 tablespoons sugar', '2 pints water', '1 sprig mint', 'ice', 'lemon slice (to garnish)']"
68,7-Up Cake,True,"['1 (18 1/4 ounce) lemon supreme cake mix', '1 (3 1/2 ounce) pineapple instant pudding', '2/3 cup vegetable oil', '4 eggs', '10 ounces carbonated lemon-lime beverage', 'ICING', '1/2 cup margarine', '1 1/2 cups sugar', '1 (15 ounce) can crushed pineapple, small', '2 tablespoons flour', 'angel flake coconut, 1 can', '2 eggs']"
69,Chicken Satay With Peanut Sauce,False,"['1 lb boneless skinless chicken breast (500 g)', '2 tablespoons peanut butter (25 mL)', '2 tablespoons chicken stock (25 mL)', '2 tablespoons fresh coriander, chopped (25 mL)', '1 tablespoon rice wine vinegar (15 mL)', '1 tablespoon honey (15 mL)', '2 teaspoons sesame oil (10 mL)', '2 teaspoons soya sauce (10 mL)', '1 teaspoon garlic, minced (5 mL)', '1 teaspoon gingerroot, minced (5 mL)', '1 teaspoon sesame seeds, toasted (5 mL)']"
70,Coffee Frappe,True,"['18 ice cubes, crushed (to 22)', '7 ounces coffee, Double-strength and chilled', '2 tablespoons sugar', '2 tablespoons syrup (vanilla, hazelnut, raspberry or other)', 'cream, Whipped (garnish)']"
71,Cafe Vienna Mix,True,"['1/2 cup instant coffee', '2/3 cup sugar', '2/3 cup nonfat dry milk powder', '1/2 teaspoon cinnamon']"
72,Spicy Hash Browns - Homemade,True,"['2 tablespoons olive oil', '1 teaspoon paprika', '3/4 teaspoon chili powder', '1/2 teaspoon salt', '1/4 teaspoon red pepper, ground', '1/8 teaspoon black pepper', '6 1/2 cups baking potatoes, diced (about 2-1/2 lbs)', 'cooking spray']"
73,Corn Dog Casserole,True,"['2 cups celery, thinly sliced', '2 tablespoons butter or 2 tablespoons margarine', '1 1/2 cups green onions, sliced', '1 1/2 lbs hot dogs', '2 eggs', '1 1/2 cups milk', '2 teaspoons rubbed sage', '1/4 teaspoon pepper', '17 ounces cornbread-muffin mix', '8 ounces sharp cheddar cheese, shredded']"
74,Greek Mushroom Salad,True,"['1 tablespoon olive oil', '1/2 lb mushroom', '3 garlic cloves, chopped fine', '1 teaspoon basil or 1 teaspoon marjoram', '1 medium tomatoes, diced', '3 tablespoons lemon juice', '1/2 cup water', '1 pinch salt', '1 pinch fresh pepper, ground', '1 tablespoon fresh parsley or 1 tablespoon fresh coriander, chopped']"
75,Baked Creamed Potatoes,True,"['2 lbs potatoes', '1 cup mayonnaise', '1/2 cup sour cream', '1/4 cup milk', '2 eggs', '2 teaspoons mustard', 'salt and pepper', '2 tablespoons parsley, chopped', 'cheese, grated', '1/4 cup parmesan cheese, grated']"
76,Grilled Bourbon Salmon,False,"['1/4 cup pineapple juice', '2 tablespoons soy sauce', '2 tablespoons brown sugar', '1 teaspoon Bourbon', '1/4 teaspoon fresh cracked pepper', '1/8 teaspoon garlic powder', '1/2 cup vegetable oil', '1 lb salmon fillet']"
77,Garlic Cauliflower,True,"['2 teaspoons olive oil', '1 1/4 lbs cauliflower florets', '1 medium red bell pepper, seeded and cut into 1/2 inch strips', '3 garlic cloves, minced', '1/4 teaspoon red pepper, crushed', '1/4 cup vegetable stock or 1/4 cup water']"
78,German Potato-Cheese Soup,False,"['4 cups water', '20 ounces chicken broth', '4 tablespoons chicken soup base', '1/2 teaspoon pepper, freshly ground', '3 large carrots, peeled and diced', '4 medium potatoes, peeled and diced', '1 large onion, chopped small', '2 stalks celery, chopped small (large)', '1 medium sweet red pepper, seeded and diced', '1 cup mayonnaise', '1/2 lb processed cheese (Kraft)', '1/2 lb cheddar cheese, grated', '1/4 lb swiss cheese, grated', '4 tablespoons instant potato flakes']"
79,Golden Baked Fish,False,"['2 lbs fish fillets', '1/8 teaspoon pepper', '1 egg white', '1/2 teaspoon salt (optional)', '1/4 cup mayonnaise', '1/4 teaspoon dill weed', '1/2 teaspoon onion juice or 1 teaspoon onion, grated', 'fresh dill', 'lemon wedge, for garnish (optional)']"
80,Greek Salad Dressing,True,"['1 minced garlic clove', '3/4 teaspoon salt', '1 dash pepper', '1/2 cup olive oil', '4 tablespoons red wine vinegar', 'oregano']"
81,Corn Fritters,True,"['1 cup flour', '1 teaspoon baking powder', '1/2 teaspoon salt', '1 egg', '1/4 cup milk', '1/2 tablespoon butter, melted', '1 cup corn, drained, crushed']"
82,Fried Green Tomatoes,True,"['6 medium green tomatoes, sliced', '1 tablespoon sugar (optional)', '1/2 cup flour', '1/2 teaspoon salt', '1/4 teaspoon pepper', '1/4 cup butter']"
83,Fruit Salad,True,"['1 (15 ounce) can crushed pineapple, drained (reserve juice)', '2 bananas, chopped', '1 (10 ounce) package frozen strawberries', '1 cup nuts, chopped', '1 (8 ounce) package cream cheese, softened', '34 cup sugar', '1 (10 ounce) carton whipped topping (Cool Whip)']"
84,Fresh Herb Scones,True,"['2 cups flour', '1/4 cup fresh parsley, chopped', '1 tablespoon sugar', '1 tablespoon fresh thyme or 1 teaspoon dried thyme, chopped', '3 teaspoons baking powder', '1 teaspoon fresh rosemary or 1/4 teaspoon dried rosemary, chopped', '1/2 teaspoon salt', '1/3 cup butter or 1/3 cup margarine', '1/2 cup milk', '1 egg, slightly beaten']"
85,Fried Tomatoes,True,"['4 medium tomatoes, half ripe', '1/2 cup all-purpose flour', '2 1/2 teaspoons salt', '2 1/2 teaspoons sugar', '1/4 teaspoon pepper', '3/4 cup evaporated milk', 'oil, for frying']"
86,Easy Garlic Chicken Breasts,False,"['1/4 cup lime juice', '1/4 cup olive oil', '1 tablespoon garlic, minced', '2 boneless skinless chicken breasts', 'salt & pepper']"
87,Egg Drop Soup,False,"['3 cups chicken broth', '1 teaspoon salt', '1 dash white pepper', '1 medium green onion, chopped (with top)', '2 eggs, slightly beaten']"
88,Ezekiel Bread,True,"['8 cups wheat flour', '4 cups barley flour', '2 cups soybean flour', '1 cup lentils, cooked and mashed', '1/2 cup millet flour', '1/4 cup rye flour', '1 1/2 cups water', '1 tablespoon salt', '5 tablespoons olive oil', '2 (1/4 ounce) packages yeast, dissolved in', '1/2 cup warm water', '1 tablespoon honey']"
89,Deviled Cauliflower,True,"['1 lb cauliflower floret, trimmed, cut into florets', '2 tablespoons unsalted butter, melted', '1 1/4 tablespoons all-purpose flour', '3/4 cup skim milk', '1/2 bay leaf', '1 dash nutmeg, ground', '2 1/2 teaspoons Dijon mustard', '1/2 teaspoon Worcestershire sauce', '1/3 cup breadcrumbs']"
90,Creme Brulee,True,"['3 cups heavy cream', '1 piece vanilla bean, pierced', '1/4 cup sugar', '3 eggs', '3 egg yolks', '1/2 cup dark brown sugar', 'fresh raspberry (optional)', 'For Frosting Variations', '1 vanilla bean (optional)', '4 1/2 ounces baking chocolate (optional)', '4 1/2 ounces pralines (optional)', '1 cup pecans, finely chopped (optional) or 1 cup brazil nut (optional)', '3 ounces coffee beans, finely ground (Espresso, French Roast, etc.) (optional)', '2 bananas (optional)', '1 tablespoon butter (optional)', '2 tablespoons brandy (optional)', '2 teaspoons brown sugar (optional)']"
