,ReviewId,RecipeId,AuthorId,AuthorName,Rating,Review,DateSubmitted,DateModified
45585,50932,24952,52924,Peaches-n-Cream,5,"This was superb, made and added to Crockpot Round Steak #9029. The combination was great. I will make this often and will save money by making my own instead of purchasing ready made from the store.",2003-04-30T08:23:11Z,2003-04-30T08:23:11Z
97921,105977,91093,50411,SlipC,5,"These are delicious! My hubby actually introduced this method of cooking them to me, as his mom made them for him growing up in Colombia. It's my favorite way to make potatoes, it's so simple! Thanks for posting, I was glad to see the recipe on Zaar and was interested to know that it is a traditional Upstate New York dish as well. ",2004-06-01T22:38:04Z,2004-06-01T22:38:04Z
73392,80246,57069,93951,CrankyCook,5,"My goodness this is good!  Husband rates it 9.99999 and I gotta do the same.  Excellent!
But use a LARGE pot to cook in!

",2003-12-21T11:17:30Z,2003-12-21T11:17:30Z
74614,81542,56005,99946,Seressa,5,Delicious!  Smelling it in the oven made me wish it would bake faster!  :),2003-12-30T08:03:45Z,2003-12-30T08:03:45Z
12553,15810,15125,26041,Dana-MMH,5,"Charlotte, this was DELICIOUS, SUPERB, and super easy to make. We love cheese and the more cheese the better too.  This is definitley a keeper, thanks so much for sharing this recipe.  My DD wanted to take it for her lunch tomorrow :-}
I highly recommend this recipe to everyone.",2002-06-04T17:14:59Z,2002-06-04T17:14:59Z
99139,107252,92073,67899,Kree6528,5,"Talk about refreshing! This is just as thirst quenching as lemonade, but more exciting! I opted to use water in place of the vodka since my dad doesn't drink. I also used fennel seeds in place of the anise because that's what I had on hand. The fennel gave it a deliciously light licorice flavor, as I'm sure the anise would. I'll be making this often during the hot Summer months. Thanks, chia!",2004-06-09T11:52:56Z,2004-06-09T11:52:56Z
17336,20958,33699,20214,Sassy Sandra,3,"Not bad. I couldn't find any Creamy French Dressing (I am in Canada), but did use the Keg
French Dressing.  (It's NOT creamy)  I added 1/2 cup of brown sugar and 1/4 cup of Soya Sauce.  I also added chopped green onions and Fresh Mushrooms.  The hubby and I thought it was not bad, but the kids were NOT impressed.  You can't win them all I guess.......",2002-08-08T18:31:14Z,2002-08-08T18:31:14Z
94578,102487,32544,72386,Pamma Lamma,5,This was great!!! I made this last night for a snack and I was amazed at how quick and easy it was. Thanks so much for sharing!,2004-05-11T06:36:23Z,2004-05-11T06:36:23Z
12353,15600,15390,42639,Gina Gibbins,5,"Very good! Be careful not to let chicken dry out. For a variation, I added a little white wine to the baking dish. I also took some very thin slices of mushroom, placed them on the chicken and then wrapped the bacon around it. Yum!",2002-06-02T18:49:15Z,2002-06-02T18:49:15Z
92081,99864,41751,68727,beckas,5,My teenage son made this for dinner tonight.  This dish was really tasty and very simple to make.  The taco seasoning and green chiles provided the right amount of zip.  The topping became slightly chewy after cooling for several minutes and had a nice texture.  We all came back for second helpings.  My son says that he wants to make this recipe again.  Thanks Yooper for posting this family pleasing recipe!,2004-04-23T19:36:32Z,2004-04-23T19:36:32Z
17591,21232,32973,40493,Carrie Ann,4,"This was a very tasty recipe.The flavour of the ingredients blended nicely together, the meat was moist and flavourful and the onion soup mix wasn't over-powering as in some recipes. My family thoroughly enjoyed these served with garlic mashed potatoes and peas and carrots.This one goes into my recipe files.",2002-08-12T18:46:00Z,2002-08-12T18:46:00Z
52091,57738,48775,58430,richabby,5,This stew is much better than what my mother use to make. I used 3 7oz cans of oysters and their juice. I substituted parsley for the chives and omited the tabasco for my children. DH really loved it. Thanks for the great recipe. ,2003-06-30T20:02:04Z,2003-06-30T20:02:04Z
59043,65212,69736,45999,Darlene10,5,"These are an excellent sugar cookie.  However, your yield amount is way off.  I got 64 very large cookies.  I wondered when I saw the 4 plus cups of flour.  I will certainly make these again.",2003-08-28T11:59:01Z,2003-08-28T11:59:01Z
77812,84892,19310,56112,Jellyqueen,5,"This was my first attempt at a frittata.  I thought it would be difficult, but it was so easy.  I did have to make a couple of changes because I had to use what I had on hand.  I used Pepper Jack cheese instead of Feta and instead of 1 cup chopped onion, I used about 1/2 cup chopped fresh green onions.  I would recommend this to anyone.  What a great dish for those cold winter nights!!!!",2004-01-20T05:52:02Z,2004-01-20T05:52:02Z
4435,7021,16826,21752,Mirj2338,5,"I made this last night to cheer up a sick daughter.  Never mind the ice cream, we had this over French toast and it was sublime!",2002-01-17T14:53:15Z,2002-01-17T14:53:15Z
76903,83941,30946,90838,yibbityibbit,5,"This is wonderful.  It is easy, fairly quick and so tasty.  This is my permanent Banana Creme Pie recipe.",2004-01-13T21:37:40Z,2004-01-13T21:37:40Z
55955,61972,57424,76559,SolightlyUK,5,"Comfort soup is the perfect name for this.  I made it on a rainy bummer of a day and this tasted absolutely soulful to us.  I made it with beef and I used real parmesan that I grated myself instead of the canned type, and I also used fresh spinach as you can't get frozen spinach where I live in England.  This is a delicious soup that I will make more frequently in the cooler weather.  Thank you, Olive Blossom!",2003-08-01T04:03:44Z,2003-08-01T04:03:44Z
21448,25341,29678,53378,Laylagirl,5,I made these to take to a pot-luck. I made two batches. One exactly as written and the other with extra spicy pork sausage for the more adventurous palates. They were both good and I really liked the Monterey Jack Pepper cheese. Gave these a nice bite.,2002-09-23T17:28:59Z,2002-09-23T17:28:59Z
37242,42163,43655,51652,Blueberry,2,I decided to try this because the idea of pasta and barbeque sauce together intruiged me.  But my family was dissapointed.,2003-02-20T20:20:35Z,2003-02-20T20:20:35Z
34020,38806,32548,58278,LinMarie,5,"This recipe is extremely good and rich in flavor.  My oldest, who is a great fan of lasagna tried to eat the entire pan.  This is definately a winner.  Thanx for posting.",2003-01-23T08:15:42Z,2003-01-23T08:15:42Z
29922,34481,34876,41531,papergoddess,5,"Inez, these went over really big at a recent party.  I added a little green food coloring to the cream cheese layers, and stuck an Andes mint in the top.  Very attractive, easy and good!",2002-12-15T06:34:14Z,2002-12-15T06:34:14Z
41568,46653,24344,64924,kathy hale,5,"Every member of my family loved these muffins, even those who normally won't eat other corn muffins!  Each of them said they were the best corn muffins they've ever had. I'm going to try this recipe as cornbread, too.",2003-03-27T13:44:49Z,2003-03-27T13:44:49Z
43786,49021,19230,72048,agnes m.,4,This stew was delicious.I left out the pepper and thickened it slightly with a little flour. Next time I make it I would try  a 1/4 teaspoon pepper.  I served it with yellow rice and irish soda bread.,2003-04-14T16:27:03Z,2003-04-14T16:27:03Z
64576,71006,14974,8688,Bev I Am,5,"Steve, this recipe is sensational! I have to admit, I had no plain yogurt on hand, so I substituted sour cream in its place, but it proved to be perfect! Nothing like a delicious slice of hot buttered banana bread on a fall morning! Mmmmmmm!  ; )  Thanks again, Steve!",2003-10-12T14:15:20Z,2003-10-12T14:15:20Z
2540,4769,12548,21694,LikeItLoveIt,5,"Delicious, light, and simple.",2001-10-28T10:34:41Z,2001-10-28T10:34:41Z
36436,41318,3149,21841,Smilynn,5,This is fantastic.  I made it the first time according to the recipe and I made it a second time and cut slits in  a T-bone steak and inserted the garlic.  Each time was a winner.  It doesn't get any easier than this.  It's Garlic/balsamic lovers dream!!,2003-02-13T10:33:41Z,2003-02-13T10:33:41Z
47530,52966,29127,33081,avidreader,5,Love this bread. The rhubarb makes this so good!,2003-05-20T11:16:28Z,2003-05-20T11:16:28Z
33064,37811,41599,64012,mama dean,5,"I was really skeptical about using the yogurt, but it was really great! My daughter said ""this smells like real authentic Italian food"" and my husband kept raving about how he loved the ""taste of lemon"" in it. They were shocked to find out it was yogurt. I browned the garlic in the olive oil before tossing with the pasta, and I think I could have gotten by with 1 Tb. of oil instead of 2. Delicious and fast! Great idea to add the chicken - I'll try that next time.",2003-01-14T07:20:35Z,2003-01-14T07:20:35Z
81193,88414,10430,79159,tinala,5,"I love coconut and this recipe gave me plenty.  Very easy to make and it was gone in two days.  Did I mention it is just hubby and I, oh, I fell so guilty!  This was wonderful, thank you.",2004-02-11T20:59:38Z,2004-02-11T20:59:38Z
75631,82602,55101,93095,Shellbelle,5,"Super easy and tasty!  Also very filling.  I wanted a little more spice, so I added some garlic powder.  Thanks for the recipe!  ",2004-01-05T12:07:16Z,2004-01-05T12:07:16Z
11257,14446,21015,40901,Martin Andrews,3,"Technical Point !!

Tapas actually translates to 'covers'. It originated by some bright spark deciding that a good way of keeping the flies out of the sherry was to cover the copa (cup) with a thin slice of bread. Someone else decide it was a waste to throw the bread away afterwards and put toppings on the bread to be eaten after the drink. And so - TAPAS !!",2002-05-16T10:47:14Z,2002-05-16T10:47:14Z
7238,10118,18650,34930,Sheryl M.,5,Another wonderfully easy recipe. I'm always looking for easy/lowfat deserts. And it's great.,2002-03-16T09:14:23Z,2002-03-16T09:14:23Z
14813,18275,17225,36056,Bekeur,4,"Easy excellent recipe.  Next time I make it however, I'm going to use only 1/2 the box of pasta as it made far too much.  Good flavor, before even tasting it, my husband rated it a ""keeper"".",2002-07-05T15:01:45Z,2002-07-05T15:01:45Z
25956,30322,18880,57324,Meridien,3,"I'm afraid this recipe did nothing for me.  Hubby kinda' liked it, but it just wasn't what I expected.  Very easy to make and I put more than the specified amount of Old Bay but that didn't help unfortunately.",2002-11-02T16:54:53Z,2002-11-02T16:54:53Z
71404,78168,20261,50141,enigma535,3,Fair.  Very tender and easy to make but for my family it was on the bland side.,2003-12-05T12:10:13Z,2003-12-05T12:10:13Z
10595,13728,27352,39993,brigy,5,"This is the exact recipe I was looking for! What a great place to search for an old recipe that I was having trouble finding, Thanks",2002-05-07T15:35:38Z,2002-05-07T15:35:38Z
21650,25554,46634,41790,Blayke Humphrey,5,"Brilliant.  Never thought of that, but it was delicious.",2002-09-23T17:41:10Z,2002-09-23T17:41:10Z
90522,98229,87871,111313,Jen Andrews,4,I made this for DH and myself. Very great flavor and a welcome way to cook spinach.  Great new side dish.  Went very well with grilled chicken and a salad.,2004-04-13T11:39:27Z,2004-04-13T11:39:27Z
30479,35077,48438,58104,Rita1652,5,"Miss Annie,
I double the five stars to TEN.
I just loved the salmon. I used brown sugar instead of white sugar. I forgot the cayenne pepper. But I did season the fish with Pepper before marinating .
This recipe is a keeper!!!!!!",2002-12-20T12:26:55Z,2002-12-20T12:26:55Z
97860,105915,45772,68960,Jewelies,4,"Very nice, tasty baguettes.  I added more flour as I felt the dough was quite wet.  Loved the poppy seeds throughout the bread.  I felt the egg mixture made the crust quite crunchy which was nice.
Thanks for posting.",2004-06-01T16:54:30Z,2004-06-01T16:54:30Z
43915,49159,45131,37449,Sharon123,5,"This was so simple to make and tasted so good! Crispy on the outside, creamy on the inside! I served 10 Minute Szechuan Chicken over the rounds for a gourmet looking dish! Thanks so much!",2003-04-15T17:47:48Z,2003-04-15T17:47:48Z
97282,105307,2687,41888,Labouche,5,"Love This--nice change from artichoke dip at my BBQ's.  I added some chopped garlic to the cream cheese and red pepper flakes to the sauce.  A cup of jack cheese, chopped pepperoni and salami, mozzarella, then olives, baked and sprinkled with green onions before serving.  All these items were on hand and made for a quick prep.  I see so many possibilities--Thank You",2004-05-29T07:32:22Z,2004-05-29T07:32:22Z
74389,81303,54269,112801,Carolie B,5,"Bravo for the Cake Mix Extender Recipe!!  It is fantastic--plus very easy.  Needed to find something different for the birthday cake for my daughter-in-law (Christmas birthday) and since we are visiting at her house, I got on this web site and found this.  Tried it and the cake was absolutely delicious--plus made a nice large cake. Thanks for sharing!
Carolie",2003-12-28T23:26:33Z,2003-12-28T23:26:33Z
6763,9579,12509,32819,wendyline2,5,This recipe is easy to make and was a great meal.  Both my husband and I enjoyed it and my 2 year old even tried it too.  I did omit the salt and pepper and substituted mozzarella for the parmesan.,2002-03-06T11:44:34Z,2002-03-06T11:44:34Z
82481,89772,72479,39949,Lizzie-Babette,5,"Excellent recipe - incredibly easy!  I used boneless/skinless chicken with a stoneground dijon mustard.  I just wrapped the prosciutto around the chicken and placed the ""seam"" on the bottom.  I baked mine at 425 F and then broiled it briefly to slightly crisp up the prosciutto.  Excellent, easy, and definitely something you can serve to guests.",2004-02-20T18:14:59Z,2004-02-20T18:14:59Z
94820,102740,86854,140314,jtfugiyive,0,"I've tried all types of crust for my cobblers, dough or batter on top/bottom etc. This sliced bread version is an absolute winner. I've never had any cobbler receive so many kudos as this recipe. Fast & delicious. Thank you. JT",2004-05-14T17:20:03Z,2004-05-14T17:20:03Z
43642,48841,20807,19540,Paula5,5,"Wonderful stuff. I will keep this and use it over and over. My family is usually luke-warm when it comes to rutabagas (or neeps, as my Scottish friend calls them), but they really liked this a lot. I used a little less sugar and orange juice to suit my own taste. Excellent! Many thanks.",2003-04-13T15:22:35Z,2003-04-13T15:22:35Z
82421,89709,13852,95502,blisstir,0,"I am not rating this recipe because I didnt follow the recipe exactly.  I did use all the ingredients but I used chicken tenders.  The flavor is nice, and unique but would not reccomend using tenders or breasts here.  I would love to try again, and do it the right way, because we did enjoy the flavor.",2004-02-20T08:23:46Z,2004-02-20T08:23:46Z
69984,76689,76811,29813,Lisa in Oregon,5,"all I can say is AWSOME! we had Our Thanksgiving early because my daughter is having her tonsils out the day before thanksgiving and I made this and it was wonderful, first time I ever made it like this. thanks for a great recipe!!
oh I also topped it with marshmellows at the end. ""mmmmmm""",2003-11-23T18:02:26Z,2003-11-23T18:02:26Z
20531,24368,32147,24677,TMF6891,5,These were very good and tender. The sauce was great on mashed potatoes. It's a great dish for a chilly fall day!,2002-09-12T18:04:48Z,2002-09-12T18:04:48Z
86104,93580,76043,39835,ellie_,5,Delicious and easy to make. We made these to use up leftover rice and all of us loved them. A nice change of pace. Thanks for sharing!,2004-03-16T10:29:51Z,2004-03-16T10:29:51Z
86671,94174,52283,122464,MarianneS,0,"Try adding mint candy flavoring to the chocolate and using bite size pretzels.  Also, try dipping ridge potato chips in chocolate. Ummmm!
",2004-03-19T20:18:04Z,2004-03-19T20:18:04Z
35392,40231,13892,30640,misfit,5,"These were very good! I did add 1 tsp. dill to the meat mixture. Also, I added nearly 1 cup of beef broth to the sauce in order to achieve desired consistency, which was still quite thick.",2003-02-03T19:01:24Z,2003-02-03T19:01:24Z
49255,54769,19135,14000,Belly Up With Bob,5,"This dish is verry gooood.Thanks.
Belly UP With Bob",2003-05-30T10:49:21Z,2003-05-30T10:49:21Z
1041,1700,5483,12678,bOoTyLiCiOuS ,4,this dip is realy good and i suggest dipping your fav. fruits in this it is really good that way,2001-07-23T15:04:50Z,2001-07-23T15:04:50Z
38626,43621,45991,53368,Cooking Person,5,"Super yummy!  My husband also likes to make tuna salad and he's tried to spice it up with curry powder which didn't quite appeal to me...When I saw this had horseradish sauce in it, I HAD to try it! I love that stuff (not to mention it clears the sinuses..lol) Anyway, I'm DEFINEATLY keeping this one! Thanks a million!",2003-03-04T15:50:18Z,2003-03-04T15:50:18Z
54850,60728,8701,32772,Audrey M,5,OUTSTANDING!! My 14 year old son made these for supper tonight. Followed the recipe exactly. There was enough sauce to make a large amount of ribs that I purchased at a food warehouse. He made it with Garden Vegetable Rice and a Vegetable Medley. He was so proud of his meal. The sauce would be great with other meat dishes. The sauce is thin after the one hour cooking but if you remove the foil at the end the sauce will thicken up a little. A new family favorite.,2003-07-23T15:52:34Z,2003-07-23T15:52:34Z
71268,78024,21301,67403,dolliegyrl,5,I am hooked on this! Its so simple to do and cheap to make and quick to prepare! It tastes good in everything from casseroles to gravy for biscuits! Thanks for a great recipe..I almost know it by heart now!,2003-12-04T09:32:55Z,2003-12-04T09:32:55Z
4817,7439,13380,5060,Derf2440,5,"Had to use ""old"" potatoes, they were all I had, they worked just fine. Made them for supper tonight with our red snapper and Rise's broccoli, what a great supper!  Love these potatoes, it might be differences in ovens, but I had to cook them for about 25 minutes, or maybe it was the old potatoes, regardless, they were very good, thanks for sharing!!",2002-01-24T09:52:03Z,2002-01-24T09:52:03Z
44037,49287,28667,39992,CRYSTALINA Haldeman,5,"I made exactly as directed with no changes. Easy to make, most everything I had on hand. My husband tasted for me and his response was ""yummy"" so I knew it was a keeper! Thanks for sharing! ",2003-04-16T18:44:31Z,2003-04-16T18:44:31Z
88785,96401,54689,94272,EdsGirlAngie,5,"This is so unique and refreshing. I love oranges, so this is heaven for me! I also love tamari and soba noodles! 
I dont' care for fish sauce though, so I just added a little more tamari for a substitute, and if you could see how many bottles of booze I have bought just for recipes and not drinking, you'll understand why I just used white wine in place of the sake - I didn't want to buy another bottle of ""recipe booze"", LOL!
I normally substitute something else for ginger in recipes, but I couldn't think of something else to use that wouldn't upset the delicate balance of this salad, so I just omitted it. I did toast the sesame seeds, though, and tossed in a little scallion.
The amounts of chili oil and sesame oil are perfect here, don't adjust! Sometimes they can be overpowering, but here they're just perfect.
Thanks for posting this, chia! I LOVE it!",2004-04-02T05:20:38Z,2004-04-02T05:20:38Z
